"food_code","food_name","group","calcium_mg","iron_mg","zinc_mg","selenium_mug","vitamin_a_mug","omega_3_g","food_lab","ca_rda","fe_rda","se_rda","zn_rda","om_rda","nut_adq","portion_adq","nut_score","product","median","mean","variance","var_stat","min","max"
"14-319","Apples, eating, raw, flesh and skin","FA",5,0.09,0,0,2,0,"Apples",0.5,0.306122448979592,0,0,0,0.161224489795918,24810.1265822785,0.806122448979592,"Apples",0.29,0.36,0.19,"SD",0.18,0.89
"14-318","Bananas, flesh only","FA",6,0.27,0.2,0,4,0,"Bananas",0.6,0.918367346938776,0,4.08163265306122,0,1.12,3571.42857142857,5.6,"Bananas",0.72,0.79,0.3,"SD",0.42,1.37
"18-064","Beef, sirloin steak, raw, lean","MAC",5,1.6,4,8,0,0,"Beef",0.5,5.4421768707483,30.7692307692308,81.6326530612245,0,23.6688121402407,168.998764124684,118.344060701204,"Beef",26.61,28.73,12.47,"SD",10.74,109.3
"12-346","Cheese, Cheddar, English","BL",739,0.3,4.1,6,388,0.34,"Cheese",73.9,1.02040816326531,23.0769230769231,83.6734693877551,30.9090909090909,42.5159783074069,94.0822758699908,212.579891537034,"Cheese",8.55,8.86,2.07,"SD",5.33,16.35
"18-488","Chicken, meat, average, raw","MCA",6,0.7,1.2,13,11,0,"Chicken",0.6,2.38095238095238,50,24.4897959183673,0,15.4941496598639,258.161957113503,77.4707482993197,"Chicken",3.65,4.12,1.72,"SD",1.06,9.98
"12-937","Eggs, chicken, whole, raw","CA",46,1.72,1.1,23,126,0.13,"Eggs",4.6,5.85034013605442,88.4615384615385,22.4489795918367,11.8181818181818,26.6358080015223,150.173781090906,133.179040007611,"Eggs",3.46,3.39,1.21,"SD",1.3,6
"18-481","Lamb, mince, raw","MAE",17,1.6,3.5,2,5,0,"Lamb",1.7,5.4421768707483,7.69230769230769,71.4285714285714,0,17.2526111983255,231.848962108891,86.2630559916274,"Lamb",25.58,27.91,11.93,"SD",10.05,56.7
"12-313","Milk, semi-skimmed, pasteurised, average","BAH",120,0.02,0.4,1,20,0.01,"Milk",12,0.0680272108843537,3.84615384615385,8.16326530612245,0.909090909090909,4.99730745445031,800.431039406597,24.9865372722516,"Milk",1.29,1.39,0.58,"SD",0.54,7.5
"18-267","Pork, mince, raw","MAG",7,0.9,2.4,12,0,0.18,"Pork",0.7,3.06122448979592,46.1538461538462,48.9795918367347,16.3636363636364,23.0516597688026,173.523296808912,115.258298844013,"Pork",5.77,5.85,1.63,"SD",3.2,11.86
"11-788","Porridge oats, unfortified","A",50,3.64,2.3,3,0,0,"Oats",5,12.3809523809524,11.5384615384615,46.9387755102041,0,15.1716378859236,263.649846514676,75.858189429618,"Oats",0.38,0.44,0.12,"SD",0.38,0.67
"13-489","Potatoes, old, raw, flesh only","DAM",7,0.32,0.3,0,0,0,"Potatoes",0.7,1.08843537414966,0,6.12244897959184,0,1.5821768707483,2528.16235273884,7.9108843537415,"Potatoes",0.18,0.2,0.08,"SD",0.08,0.36
"11-861","Rice, white, long grain, raw","AC",16,0.26,1.4,13,0,0.01,"Rice",1.6,0.884353741496599,50,28.5714285714286,0.909090909090909,16.3929746444032,244.006965591547,81.9648732220161,"Rice",2.55,2.66,1.29,"SD",0.66,5.69
"13-517","Tomatoes, standard, raw","DG",8,0.24,0.1,0,58,0,"Tomatoes",0.8,0.816326530612245,0,2.04081632653061,0,0.731428571428571,5468.75,3.65714285714286,"Tomatoes",0.45,0.46,0.18,"SD",0.08,1
