"uk_name","scientific_name","farmed_wild","gear","low","max","mid","id","dom"
"Alaska pollock","Gadus chalcogrammus","Wild","Midwater trawl",0.3,2.5,1.4,"Alaska pollock_Midwater trawl","Midwater trawl"
"Cod","Gadus morhua","Wild","Bottom trawl",1.6,2.8,2.2,"Cod_Bottom trawl","Bottom trawl"
"Haddock","Melanogrammus aeglefinus","Wild","Bottom trawl",3.6,4.2,3.9,"Haddock_Bottom trawl","Bottom trawl"
"Herring","Clupea harengus","Wild","Purse seine",0.2,0.4,0.3,"Herring_Purse seine","Purse seine"
"Lobster, Norway","Nephrops norvegicus","Wild","Bottom trawl",4.5,26,15.25,"Lobster, Norway_Bottom trawl","Bottom trawl"
"Mackerel","Scomber scombrus","Wild","Purse seine",0.2,0.3,0.25,"Mackerel_Purse seine","Purse seine"
"Scallop","Aequipecten opercularis","Wild","Dredge",1.2,3.2,2.2,"Scallop_Dredge","Dredge"
"Sea mussels","Mytilus edulis","Farmed","Longline",0.04,0.2,0.12,"Sea mussels_Longline","Longline"
"Trout","Oncorhynchus mykiss","Farmed","Raceway",3,7,5,"Trout_Raceway","Raceway"
"Tuna, skipjack","Katsuwonus pelamis","Wild","Purse seine",1.6,3.1,2.35,"Tuna, skipjack_Purse seine","Purse seine"
