"V1","V2","V3","V4"
"","Country","Total consumption","Consumption footprint per capita (kg)"
"Country","code","footprint (tonnes)","Total Fisheries Aquaculture Fish meal"
"World","","154 187 007","22.3 9.7 8.8 3.8"
"China","CHN","64 951 697","48.3 12.9 27.1 8.3"
"European Union","EU","13 051 508","25.7 14.4 5.7 5.6"
"Japan","JPN","7 412 488","58.0 35.3 14.6 8.1"
"Indonesia","IDN","7 297 806","30.1 15.5 9.6 5.1"
"United States","USA","7 143 636","22.9 13.1 5.3 4.5"
"India","IND","6 331 374","5.1 2.3 2.3 0.4"
"Korea, Republic of","KOR","3 907 340","78.5 48.9 21.7 7.8"
"Russian Federation","RUS","3 405 490","24.0 16.6 3.8 3.5"
"Viet Nam","VNM","3 257 070","37.1 11.6 16.5 9.0"
"Philippines","PHL","3 247 409","34.2 22.5 8.5 3.3"
"Bangladesh","BGD","3 007 999","20.0 8.4 9.7 1.8"
"Nigeria","NGA","2 971 053","18.3 12.0 4.4 1.8"
"Myanmar","MMR","2 897 091","59.9 44.7 11.8 3.4"
"France","FRA","2 391 316","36.5 22.4 8.1 6.0"
"Brazil","BRA","2 179 102","11.1 2.4 4.4 4.3"
"Spain","ESP","2 138 501","46.3 28.3 9.1 8.8"
"Egypt","EGY","1 878 771","22.8 3.7 13.2 5.8"
"Thailand","THA","1 785 733","25.7 9.8 8.6 7.4"
"Italy","ITA","1 715 292","28.2 15.7 7.0 5.5"
"Malaysia","MYS","1 691 515","58.6 35.6 14.4 8.6"
"Germany","DEU","1 375 334","16.8 9.1 3.9 3.9"
"United Kingdom","GBR","1 325 170","21.2 11.4 5.0 4.7"
"Mexico","MEX","1 320 667","11.5 6.9 1.7 2.9"
"Peru","PER","850 602","28.9 21.9 0.3 6.7"
"Canada","CAN","836 166","24.2 12.8 5.4 6.0"
"Ghana","GHA","680 875","27.3 23.5 2.6 1.2"
"Ukraine","UKR","675 578","14.8 9.0 2.6 3.2"
"Portugal","PRT","654 682","61.5 40.0 11.7 9.8"
"Turkey","TUR","651 694","8.8 3.6 2.0 3.3"
"Iran, Islamic Republic of","IRN","624 954","8.4 2.1 2.8 3.5"
"Australia","AUS","622 112","27.5 12.6 8.7 6.3"
"Poland","POL","564 598","14.8 7.4 3.0 4.4"
"Sri Lanka","LKA","553 529","26.5 20.6 3.6 2.3"
"Cambodia","KHM","518 864","36.3 29.5 4.4 2.3"
"Netherlands","NLD","461 804","27.7 14.6 5.0 8.1"
"Uganda","UGA","460 743","13.4 10.2 2.2 1.0"
